Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
497,15.82,25.54,0.9,42.71,23.41
498,16.52,31.15,0.85,48.97,20.42
499,16.2,27.63,1.11,45.47,21.99
500,17.21,28.77,0.89,47.3,21.14
501,16.28,25.43,0.84,43.0,23.26
502,17.34,26.58,0.53,44.78,22.33
503,16.29,29.52,0.74,146.57,6.82
504,18.07,27.41,0.22,45.94,21.77
505,17.02,26.3,0.62,44.31,22.57
506,17.97,26.49,0.6,45.41,22.02
507,16.65,28.62,1.21,47.13,21.22
508,16.79,30.02,0.84,48.11,20.79
509,16.5,25.25,0.83,42.99,23.26
510,15.92,28.89,1.0,46.29,21.6
511,16.89,29.6,0.98,47.96,20.85
512,18.94,28.14,0.95,48.49,20.62
513,16.42,24.44,0.94,42.24,23.68
514,17.53,25.48,0.92,44.4,22.52
515,16.57,29.42,0.62,46.99,21.28
516,19.04,28.72,0.59,48.72,20.53
517,16.06,24.88,0.6,41.9,23.87
518,17.66,26.33,0.61,44.95,22.25
519,15.72,27.89,0.57,44.52,22.46
520,26.36,28.09,0.65,55.49,18.02
521,16.34,25.35,0.83,42.96,23.28
522,17.03,25.75,0.86,44.06,22.7
523,16.18,27.37,0.83,44.79,22.32
524,18.91,26.35,0.88,46.56,21.48
525,16.95,25.25,0.83,43.44,23.02
526,17.52,26.17,0.88,45.04,22.2
527,16.3,28.85,1.03,46.62,21.45
528,17.38,27.51,0.88,46.23,21.63
529,16.08,25.47,0.9,42.94,23.29
530,16.93,27.6,0.86,45.93,21.77
531,17.01,28.35,1.07,46.98,21.28
532,21.55,28.32,1.07,51.44,19.44
533,16.19,25.02,1.05,42.75,23.39
534,18.71,25.38,1.56,46.38,21.56
535,24.86,34.97,1.66,62.19,16.08
536,17.05,28.2,1.27,47.13,21.22
537,16.77,26.32,1.07,44.7,22.37
538,17.8,27.29,1.17,46.83,21.35
539,15.96,27.22,0.96,44.63,22.41
540,18.69,28.19,1.04,48.47,20.63
541,15.93,25.96,1.15,43.62,22.93
542,19.01,28.11,0.95,48.57,20.59
543,16.46,27.12,1.38,45.67,21.9
544,20.14,26.58,0.94,48.16,20.76
545,16.22,27.76,1.07,45.6,21.93
546,17.63,25.26,0.96,44.37,22.54
547,17.86,29.28,0.96,48.61,20.57
548,17.27,27.02,1.07,45.9,21.79
549,18.01,25.78,1.3,45.67,21.89
550,21.49,36.52,1.97,60.81,16.44
551,16.78,27.61,1.51,46.61,21.45
552,18.35,27.6,1.5,48.13,20.78
553,16.8,24.88,1.93,44.37,22.54
554,18.92,27.04,1.21,47.76,20.94
555,16.42,28.5,1.53,47.19,21.19
556,19.06,28.88,1.57,50.24,19.9
557,16.29,27.23,1.46,45.68,21.89
558,17.98,27.56,1.24,47.36,21.11
559,17.47,30.09,1.28,49.42,20.24
560,17.6,30.13,1.48,49.91,20.03
561,16.64,26.71,0.93,44.82,22.31
562,16.94,26.02,0.9,44.37,22.54
563,16.99,29.4,1.04,47.93,20.86
564,19.32,26.9,0.94,47.64,20.99
565,21.93,29.48,0.77,52.66,18.99
566,16.54,25.17,1.05,43.24,23.12
567,15.0,25.63,0.58,41.58,24.05
568,18.7,26.19,0.56,45.78,21.84
569,15.98,24.94,0.77,42.1,23.75
570,16.4,24.67,0.55,41.97,23.82
571,16.03,26.87,0.81,44.24,22.6
572,17.87,25.94,0.97,45.27,22.09
573,15.85,23.2,0.98,40.52,24.68
574,17.11,25.89,1.17,44.82,22.31
575,16.14,28.0,1.21,45.95,21.76
576,19.61,30.5,1.37,52.16,19.17
577,16.92,25.25,1.26,44.01,22.72
578,17.04,26.36,1.31,45.31,22.07
579,16.48,26.99,1.38,45.51,21.97
580,17.34,25.49,1.17,44.92,22.26
581,16.28,24.88,1.01,42.67,23.43
582,19.35,26.75,1.25,47.94,20.86
583,16.39,27.32,1.67,46.1,21.69
584,17.87,26.91,1.18,46.53,21.49
585,16.15,25.08,1.0,42.76,23.39
586,17.23,26.72,1.04,45.52,21.97
587,16.25,27.76,1.27,45.85,21.81
588,18.49,27.93,1.47,48.52,20.61
589,16.11,25.75,1.0,43.35,23.07
590,17.08,26.94,1.05,45.55,21.96
